game_pk,game_date,matchup,side,pitcher,throws,opp_team,n_opp,n_LHB,n_RHB,n_SW,n_platoon_adv,n_low_sample,pit_min_split_bf,pit_low_sample,reliable,opp_OPS_raw,opp_OPS_vs_hand,pit_OPS_raw,pit_OPS_allowed,mx_OPS,edge_OPS
822711,2026-07-11,New York Yankees @ Washington Nationals,away,Cam Schlittler,R,Washington Nationals,9,5,2,2,7,0,181,False,True,0.785,0.793,0.581,0.612,0.631,-0.12
822711,2026-07-11,New York Yankees @ Washington Nationals,home,PJ Poulin,L,New York Yankees,9,5,3,1,4,0,67,False,True,0.768,0.758,0.664,0.69,0.712,-0.039
822875,2026-07-11,Houston Astros @ Texas Rangers,away,Peter Lambert,R,Texas Rangers,9,4,5,0,4,0,147,False,True,0.741,0.744,0.651,0.66,0.658,-0.093
822875,2026-07-11,Houston Astros @ Texas Rangers,home,Kumar Rocker,R,Houston Astros,9,3,6,0,3,1,158,False,True,0.804,0.795,0.637,0.676,0.725,-0.026
822953,2026-07-11,Seattle Mariners @ Tampa Bay Rays,away,Logan Gilbert,R,Tampa Bay Rays,9,4,5,0,4,0,178,False,True,0.78,0.777,0.636,0.651,0.676,-0.075
822953,2026-07-11,Seattle Mariners @ Tampa Bay Rays,home,Griffin Jax,R,Seattle Mariners,9,6,2,1,7,0,104,False,True,0.741,0.747,0.734,0.744,0.723,-0.028
823030,2026-07-11,Atlanta Braves @ St. Louis Cardinals,away,Reynaldo López,R,St. Louis Cardinals,9,5,4,0,5,0,102,False,True,0.779,0.775,0.687,0.707,0.728,-0.023
823030,2026-07-11,Atlanta Braves @ St. Louis Cardinals,home,Matthew Liberatore,L,Atlanta Braves,9,3,5,1,6,0,94,False,True,0.745,0.752,0.853,0.82,0.832,0.081
823198,2026-07-11,Colorado Rockies @ San Francisco Giants,away,Kyle Freeland,L,San Francisco Giants,9,5,4,0,4,2,86,False,True,0.709,0.733,0.899,0.868,0.866,0.115
823198,2026-07-11,Colorado Rockies @ San Francisco Giants,home,Tyler Mahle,R,Colorado Rockies,9,6,3,0,6,0,145,False,True,0.806,0.798,0.792,0.79,0.832,0.081
823276,2026-07-11,Toronto Blue Jays @ San Diego Padres,away,Trey Yesavage,R,San Diego Padres,9,4,5,0,4,0,130,False,True,0.693,0.695,0.611,0.639,0.598,-0.153
823276,2026-07-11,Toronto Blue Jays @ San Diego Padres,home,Walker Buehler,R,Toronto Blue Jays,9,3,5,1,4,1,172,False,True,0.709,0.713,0.752,0.747,0.718,-0.033
823356,2026-07-11,Milwaukee Brewers @ Pittsburgh Pirates,away,Shane Drohan,L,Pittsburgh Pirates,9,2,6,1,7,2,87,False,True,0.744,0.747,0.671,0.691,0.684,-0.067
823356,2026-07-11,Milwaukee Brewers @ Pittsburgh Pirates,home,Bubba Chandler,R,Milwaukee Brewers,9,4,4,1,5,1,188,False,True,0.815,0.806,0.718,0.724,0.782,0.031
823357,2026-07-11,Milwaukee Brewers @ Pittsburgh Pirates,away,Brandon Sproat,R,Pittsburgh Pirates,9,3,4,2,5,1,167,False,True,0.81,0.806,0.782,0.778,0.822,0.071
823357,2026-07-11,Milwaukee Brewers @ Pittsburgh Pirates,home,Braxton Ashcraft,R,Milwaukee Brewers,9,4,4,1,5,1,194,False,True,0.819,0.812,0.668,0.682,0.738,-0.013
823603,2026-07-11,Boston Red Sox @ New York Mets,away,Eduardo Rivera,L,New York Mets,9,4,3,2,5,3,4,True,False,0.716,0.734,0.278,0.678,0.668,-0.083
823603,2026-07-11,Boston Red Sox @ New York Mets,home,Freddy Peralta,R,Boston Red Sox,9,4,4,1,5,1,154,False,True,0.65,0.675,0.743,0.756,0.676,-0.075
823682,2026-07-11,Los Angeles Angels @ Minnesota Twins,away,Ryan Johnson,R,Minnesota Twins,9,4,2,3,7,1,63,False,True,0.746,0.754,0.839,0.82,0.803,0.052
823682,2026-07-11,Los Angeles Angels @ Minnesota Twins,home,Joe Ryan,R,Los Angeles Angels,9,2,7,0,2,0,198,False,True,0.731,0.729,0.59,0.613,0.612,-0.139
823844,2026-07-11,Cleveland Guardians @ Miami Marlins,away,Tanner Bibee,R,Miami Marlins,9,5,3,1,6,0,195,False,True,0.783,0.78,0.702,0.712,0.731,-0.02
823844,2026-07-11,Cleveland Guardians @ Miami Marlins,home,Eury Pérez,R,Cleveland Guardians,9,6,1,2,8,0,146,False,True,0.693,0.71,0.659,0.7,0.637,-0.114
823926,2026-07-11,Arizona Diamondbacks @ Los Angeles Dodgers,away,Brandon Pfaadt,R,Los Angeles Dodgers,9,5,3,1,6,0,96,False,True,0.829,0.822,0.818,0.791,0.855,0.104
823926,2026-07-11,Arizona Diamondbacks @ Los Angeles Dodgers,home,Yoshinobu Yamamoto,R,Arizona Diamondbacks,9,2,5,2,4,0,199,False,True,0.721,0.738,0.55,0.582,0.576,-0.175
824249,2026-07-11,Philadelphia Phillies @ Detroit Tigers,away,Cristopher Sánchez,L,Detroit Tigers,9,3,6,0,6,2,116,False,True,0.744,0.744,0.616,0.667,0.648,-0.103
824249,2026-07-11,Philadelphia Phillies @ Detroit Tigers,home,Casey Mize,R,Philadelphia Phillies,9,5,4,0,5,0,120,False,True,0.774,0.77,0.603,0.633,0.637,-0.114
824492,2026-07-11,Chicago Cubs @ Cincinnati Reds,away,Javier Assad,R,Cincinnati Reds,9,3,4,2,5,0,109,False,True,0.716,0.73,0.703,0.716,0.692,-0.059
824492,2026-07-11,Chicago Cubs @ Cincinnati Reds,home,Nick Lodolo,L,Chicago Cubs,9,2,6,1,7,0,65,False,True,0.765,0.759,0.806,0.79,0.796,0.045
824576,2026-07-11,Athletics @ Chicago White Sox,away,Gage Jump,L,Chicago White Sox,9,3,5,1,6,1,57,False,True,0.787,0.789,0.719,0.719,0.757,0.006
824576,2026-07-11,Athletics @ Chicago White Sox,home,Bryan Hudson,L,Athletics,9,4,4,1,5,2,79,False,True,0.765,0.748,0.63,0.666,0.664,-0.087
