game_pk,game_date,matchup,side,pitcher,opp_team,n_opp,pit_xwOBA,opp_xwOBA,lg_xwOBA,mx_xwOBA,edge_xwOBA,pit_xBA,opp_xBA,lg_xBA,mx_xBA,edge_xBA,pit_xSLG,opp_xSLG,lg_xSLG,mx_xSLG,edge_xSLG,pit_Hard Hit%,opp_Hard Hit%,lg_Hard Hit%,mx_Hard Hit%,edge_Hard Hit%,pit_EV,opp_EV,lg_EV,mx_EV,edge_EV,pit_LA°,opp_LA°,lg_LA°,mx_LA°,edge_LA°,pit_K%,opp_K%,lg_K%,mx_K%,edge_K%,pit_BB%,opp_BB%,lg_BB%,mx_BB%,edge_BB%,comp_raw,comp_reliability,comp_z,comp_pctile,comp_tier
822711,2026-07-11,New York Yankees @ Washington Nationals,away,Cam Schlittler,Washington Nationals,9,0.267,0.338,0.318,0.284,-0.034,0.216,0.258,0.245,0.227,-0.018,0.351,0.437,0.4,0.383,-0.017,38.8,39.394,39.419,38.775,-0.644,87.7,88.931,88.958,87.673,-1.285,12.5,13.452,13.939,12.013,-1.926,29.6,20.207,22.101,27.063,4.962,4.8,9.045,8.978,4.836,-4.142,-0.576,0.827,-0.476,69.0,slight
822711,2026-07-11,New York Yankees @ Washington Nationals,home,PJ Poulin,New York Yankees,9,0.358,0.329,0.318,0.37,0.052,0.259,0.249,0.245,0.263,0.018,0.451,0.421,0.4,0.475,0.075,45.6,41.513,39.419,48.022,8.603,91.4,89.774,88.958,92.216,3.258,13.4,15.097,13.939,14.558,0.619,15.1,22.348,22.101,15.269,-6.832,13.7,10.35,8.978,15.794,6.816,1.229,0.632,0.777,94.0,slight
822875,2026-07-11,Houston Astros @ Texas Rangers,away,Peter Lambert,Texas Rangers,9,0.293,0.327,0.318,0.301,-0.017,0.209,0.258,0.245,0.22,-0.025,0.357,0.419,0.4,0.374,-0.026,38.2,43.375,39.419,42.034,2.615,89.1,89.767,88.958,89.909,0.951,18.3,12.09,13.939,16.451,2.512,22.4,21.466,22.101,21.756,-0.345,9.7,8.094,8.978,8.745,-0.233,-0.119,0.786,-0.094,12.0,negligible
822875,2026-07-11,Houston Astros @ Texas Rangers,home,Kumar Rocker,Houston Astros,9,0.33,0.33,0.318,0.342,0.024,0.264,0.254,0.245,0.274,0.029,0.422,0.427,0.4,0.45,0.05,42.5,37.274,39.419,40.187,0.768,89.2,88.624,88.958,88.866,-0.092,11.5,15.108,13.939,12.669,-1.27,20.4,19.214,22.101,17.735,-4.366,8.8,8.993,8.978,8.815,-0.163,0.488,0.809,0.395,53.0,negligible
822953,2026-07-11,Seattle Mariners @ Tampa Bay Rays,away,Logan Gilbert,Tampa Bay Rays,9,0.296,0.317,0.318,0.295,-0.023,0.235,0.256,0.245,0.246,0.001,0.392,0.386,0.4,0.378,-0.022,42.8,35.968,39.419,39.053,-0.366,90.3,88.461,88.958,89.803,0.845,18.2,10.405,13.939,14.666,0.727,27.2,16.643,22.101,20.483,-1.618,5.3,8.726,8.978,5.151,-3.827,-0.207,0.822,-0.17,25.0,negligible
822953,2026-07-11,Seattle Mariners @ Tampa Bay Rays,home,Griffin Jax,Seattle Mariners,9,0.346,0.326,0.318,0.355,0.037,0.268,0.25,0.245,0.273,0.028,0.471,0.41,0.4,0.483,0.083,41.7,38.67,39.419,40.908,1.489,89.0,89.098,88.958,89.14,0.182,10.7,13.595,13.939,10.356,-3.583,25.6,21.663,22.101,25.093,2.992,8.3,8.651,8.978,7.998,-0.98,0.547,0.745,0.408,59.0,slight
823030,2026-07-11,Atlanta Braves @ St. Louis Cardinals,away,Reynaldo López,St. Louis Cardinals,9,0.327,0.342,0.318,0.352,0.034,0.251,0.264,0.245,0.27,0.025,0.412,0.435,0.4,0.448,0.048,34.6,42.941,39.419,37.691,-1.728,86.8,89.95,88.958,87.792,-1.166,16.9,11.345,13.939,14.306,0.367,21.3,18.478,22.101,17.808,-4.293,10.0,8.708,8.978,9.699,0.721,0.468,0.73,0.342,48.0,negligible
823030,2026-07-11,Atlanta Braves @ St. Louis Cardinals,home,Matthew Liberatore,Atlanta Braves,9,0.357,0.327,0.318,0.367,0.049,0.279,0.255,0.245,0.29,0.045,0.473,0.435,0.4,0.514,0.114,41.6,41.072,39.419,43.344,3.925,90.6,89.534,88.958,91.176,2.218,15.7,14.731,13.939,16.492,2.553,21.0,20.856,22.101,19.817,-2.284,9.0,7.187,8.978,7.205,-1.773,1.034,0.818,0.846,97.0,notable
823198,2026-07-11,Colorado Rockies @ San Francisco Giants,away,Kyle Freeland,San Francisco Giants,9,0.365,0.324,0.318,0.372,0.054,0.299,0.268,0.245,0.327,0.082,0.507,0.428,0.4,0.542,0.142,44.6,38.26,39.419,43.289,3.87,91.0,89.012,88.958,91.054,2.096,14.8,15.215,13.939,16.076,2.137,18.5,17.67,22.101,14.791,-7.31,4.8,6.324,8.978,3.381,-5.597,1.277,0.826,1.055,100.0,notable
823198,2026-07-11,Colorado Rockies @ San Francisco Giants,home,Tyler Mahle,Colorado Rockies,9,0.315,0.318,0.318,0.315,-0.003,0.246,0.248,0.245,0.249,0.004,0.399,0.402,0.4,0.401,0.001,34.8,37.097,39.419,32.75,-6.669,89.4,88.034,88.958,88.476,-0.482,12.9,15.348,13.939,14.309,0.37,22.4,21.48,22.101,21.771,-0.33,9.4,8.599,8.978,9.003,0.025,-0.193,0.778,-0.15,19.0,negligible
